Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
340,BRKM5,Sell,06.12.2024 10:02:00,15.15,100.0,06.12.2024 15:30:00,14.48,5h 28m,67.0,4778.0,0.0,67.0,4778.0,6700.0,477800.0,0.21,16.39,,IS
20,WEGE3,Sell,09.12.2024 10:02:00,55.11,100.0,09.12.2024 10:42:40,55.31,40m 40s,-20.0,4758.0,0.0,-20.0,4758.0,-2000.0,475800.0,-0.06,16.33,sl 55.31,IS
82,VALE3,Sell,09.12.2024 10:08:00,55.88,100.0,09.12.2024 11:40:40,56.38,1h 32m,-50.0,4708.0,0.0,-50.0,4708.0,-5000.0,470800.0,-0.16,16.17,sl 56.38,IS
342,BRKM5,Sell,09.12.2024 10:08:00,14.54,100.0,09.12.2024 11:53:40,15.04,1h 45m,-50.0,4658.0,0.0,-50.0,4658.0,-5000.0,465800.0,-0.16,16.01,sl 15.04,IS
84,VALE3,Sell,09.12.2024 11:40:40,56.45,100.0,09.12.2024 12:03:40,56.95,23m 0s,-50.0,4608.0,0.0,-50.0,4608.0,-5000.0,460800.0,-0.16,15.86,sl 56.95,IS
22,WEGE3,Sell,09.12.2024 10:42:40,55.33,100.0,09.12.2024 15:30:00,55.23,4h 47m,10.0,4618.0,0.0,10.0,4618.0,1000.0,461800.0,0.03,15.89,,IS
54,TAEE11,Sell,09.12.2024 11:50:00,32.7,100.0,09.12.2024 15:30:00,32.5,3h 40m,20.0,4638.0,0.0,20.0,4638.0,2000.0,463800.0,0.06,15.95,,IS
80,ABEV3,Buy,09.12.2024 10:08:00,13.28,100.0,09.12.2024 15:30:00,13.29,5h 22m,1.0,4639.0,0.0,1.0,4639.0,100.0,463900.0,0.0,15.95,,IS
86,VALE3,Sell,09.12.2024 12:03:40,57.0,100.0,09.12.2024 15:30:00,57.32,3h 26m,-32.0,4607.0,0.0,-32.0,4607.0,-3200.0,460700.0,-0.1,15.85,,IS
176,SUZB3,Sell,09.12.2024 10:03:00,63.72,100.0,09.12.2024 15:30:00,64.22,5h 27m,-50.0,4557.0,0.0,-50.0,4557.0,-5000.0,455700.0,-0.16,15.69,,IS
222,CSAN3,Sell,09.12.2024 10:03:00,9.48,100.0,09.12.2024 15:30:00,9.49,5h 27m,-1.0,4556.0,0.0,-1.0,4556.0,-100.0,455600.0,-0.0,15.69,,IS
344,BRKM5,Sell,09.12.2024 11:53:40,15.04,100.0,09.12.2024 15:30:00,14.7,3h 36m,34.0,4590.0,0.0,34.0,4590.0,3400.0,459000.0,0.11,15.8,,IS
178,SUZB3,Sell,10.12.2024 10:03:00,65.0,100.0,10.12.2024 13:10:40,63.05,3h 7m,195.0,4785.0,0.0,195.0,4785.0,19500.0,478500.0,0.62,16.42,tp 63.05,IS
56,TAEE11,Sell,10.12.2024 10:02:00,32.97,100.0,10.12.2024 15:30:00,32.87,5h 28m,10.0,4795.0,0.0,10.0,4795.0,1000.0,479500.0,0.03,16.45,,IS
82,ABEV3,Buy,10.12.2024 10:03:00,13.38,100.0,10.12.2024 15:30:00,13.43,5h 27m,5.0,4800.0,0.0,5.0,4800.0,500.0,480000.0,0.02,16.46,,IS
180,SUZB3,Sell,10.12.2024 13:10:40,63.05,100.0,10.12.2024 15:30:00,63.12,2h 19m,-7.0,4793.0,0.0,-7.0,4793.0,-700.0,479300.0,-0.02,16.44,,IS
224,CSAN3,Sell,10.12.2024 10:03:00,9.5,100.0,10.12.2024 15:30:00,9.53,5h 27m,-3.0,4790.0,0.0,-3.0,4790.0,-300.0,479000.0,-0.01,16.43,,IS
346,BRKM5,Sell,10.12.2024 10:07:00,14.95,100.0,10.12.2024 15:30:01,15.01,5h 23m,-6.0,4784.0,0.0,-6.0,4784.0,-600.0,478400.0,-0.02,16.41,,IS
190,UNIP6,Sell,10.12.2024 11:00:00,48.55,100.0,10.12.2024 15:31:00,48.38,4h 31m,17.0,4801.0,0.0,17.0,4801.0,1700.0,480100.0,0.05,16.47,,IS
122,BBAS3,Sell,11.12.2024 10:03:00,23.88,100.0,11.12.2024 10:52:40,23.73,49m 40s,15.0,4816.0,0.0,15.0,4816.0,1500.0,481600.0,0.05,16.51,tp 23.73,IS
84,ABEV3,Buy,11.12.2024 10:03:00,13.33,100.0,11.12.2024 11:40:40,12.93,1h 37m,-40.0,4776.0,0.0,-40.0,4776.0,-4000.0,477600.0,-0.13,16.39,sl 12.93,IS
44,ITUB4,Sell,11.12.2024 10:04:20,28.72,100.0,11.12.2024 15:30:00,28.57,5h 25m,15.0,4791.0,0.0,15.0,4791.0,1500.0,479100.0,0.05,16.44,,IS
58,TAEE11,Sell,11.12.2024 10:02:20,32.85,100.0,11.12.2024 15:30:00,32.81,5h 27m,4.0,4795.0,0.0,4.0,4795.0,400.0,479500.0,0.01,16.45,,IS
86,ABEV3,Buy,11.12.2024 11:40:40,12.94,100.0,11.12.2024 15:30:00,12.8,3h 49m,-14.0,4781.0,0.0,-14.0,4781.0,-1400.0,478100.0,-0.04,16.4,,IS
96,GGBR4,Buy,11.12.2024 13:01:40,20.46,100.0,11.12.2024 15:30:00,20.49,2h 28m,3.0,4784.0,0.0,3.0,4784.0,300.0,478400.0,0.01,16.41,,IS
124,BBAS3,Sell,11.12.2024 13:44:20,23.88,100.0,11.12.2024 15:30:00,23.89,1h 45m,-1.0,4783.0,0.0,-1.0,4783.0,-100.0,478300.0,-0.0,16.41,,IS
182,SUZB3,Sell,11.12.2024 10:03:00,62.62,100.0,11.12.2024 15:30:00,62.69,5h 27m,-7.0,4776.0,0.0,-7.0,4776.0,-700.0,477600.0,-0.02,16.39,,IS
226,CSAN3,Sell,11.12.2024 10:03:00,9.66,100.0,11.12.2024 15:30:00,9.43,5h 27m,23.0,4799.0,0.0,23.0,4799.0,2300.0,479900.0,0.07,16.46,,IS
348,BRKM5,Sell,11.12.2024 10:03:00,15.31,100.0,11.12.2024 15:30:00,15.02,5h 27m,29.0,4828.0,0.0,29.0,4828.0,2900.0,482800.0,0.09,16.55,,IS
46,WEGE3,Buy,12.12.2024 10:01:40,57.72,100.0,12.12.2024 11:30:40,57.37,1h 29m,-35.0,4793.0,0.0,-35.0,4793.0,-3500.0,479300.0,-0.11,16.44,sl 57.37,IS
48,WEGE3,Buy,12.12.2024 11:30:40,57.37,100.0,12.12.2024 12:39:20,56.99,1h 8m,-38.0,4755.0,0.0,-38.0,4755.0,-3800.0,475500.0,-0.12,16.32,sl 56.99,IS
228,CSAN3,Sell,12.12.2024 10:03:00,9.61,100.0,12.12.2024 12:59:40,9.26,2h 56m,35.0,4790.0,0.0,35.0,4790.0,3500.0,479000.0,0.11,16.43,tp 9.26,IS
50,WEGE3,Buy,12.12.2024 12:39:20,57.0,100.0,12.12.2024 15:30:00,57.2,2h 50m,20.0,4810.0,0.0,20.0,4810.0,2000.0,481000.0,0.06,16.5,,IS
60,TAEE11,Sell,12.12.2024 12:00:40,32.82,100.0,12.12.2024 15:30:00,32.73,3h 29m,9.0,4819.0,0.0,9.0,4819.0,900.0,481900.0,0.03,16.52,,IS
98,GGBR4,Buy,12.12.2024 10:05:00,20.5,100.0,12.12.2024 15:30:00,20.37,5h 25m,-13.0,4806.0,0.0,-13.0,4806.0,-1300.0,480600.0,-0.04,16.48,,IS
184,SUZB3,Sell,12.12.2024 10:11:40,61.96,100.0,12.12.2024 15:30:00,61.92,5h 18m,4.0,4810.0,0.0,4.0,4810.0,400.0,481000.0,0.01,16.5,,IS
230,CSAN3,Sell,12.12.2024 12:59:40,9.26,100.0,12.12.2024 15:30:00,9.16,2h 30m,10.0,4820.0,0.0,10.0,4820.0,1000.0,482000.0,0.03,16.53,,IS
350,BRKM5,Sell,12.12.2024 10:09:00,14.94,100.0,12.12.2024 15:30:00,14.49,5h 21m,45.0,4865.0,0.0,45.0,4865.0,4500.0,486500.0,0.14,16.67,,IS
232,CSAN3,Sell,13.12.2024 10:03:00,9.28,100.0,13.12.2024 15:30:00,9.07,5h 27m,21.0,4886.0,0.0,21.0,4886.0,2100.0,488600.0,0.07,16.73,,IS
352,BRKM5,Sell,13.12.2024 10:03:00,14.29,100.0,13.12.2024 15:30:00,13.35,5h 27m,94.0,4980.0,0.0,94.0,4980.0,9400.0,498000.0,0.29,17.03,,IS
